,SEX,AGE,BMI,REA,ECMO1,ECMO2,ECMO3,ECMO4,SHOCK,PERFl,PERFr,CAD2,CAD3,CLlca,CLlcx,CLrca,CLlad,TFBAN,KM,RADT,FDP,DBT,CKadm,CKmax,CKMBa,CKMBm,TROPa,TROPm,KREAa,KREAm,BNP,LDHa,LDHm,ADP,LDL,TRIGL,HBA1C,LPa,LACa,LACm,HoINT,HTN,HLP,DM,FAMH,NIC1,NIC2,LVEF_dis
SEX,1.0,0.274456215036743,-0.01851211006316359,-0.04323056581504042,-0.06597595226190893,0.0002110839002100192,-0.027922406914605187,-0.030594657073376847,-0.014738527145778741,0.0006094750030613116,0.008002075606633925,0.001949064171051733,-0.027907502465184524,-0.039667232840271995,0.014689011769368888,0.029758501478842073,-0.027654479606394736,-0.04204711058892744,-0.08987617718009779,-0.03746913350668695,-0.12875534061485883,0.05194440351978216,-0.06917413191969808,-0.07196972357174507,-0.04150602738092399,-0.03262059594016481,-0.012056709041490777,-0.00726812162699597,-0.058561679995981386,-0.050674285273014937,0.06406462875991609,-0.019370241203792698,0.012322794727161608,0.006511086295870201,-0.0014511219520811597,-0.05197835342670506,0.06452242101993594,0.02472853497774648,-0.04129186857290709,0.001658395242519728,-0.023865313831573406,0.08371571219163908,-0.034171319034426606,0.03752308544327316,-0.0450830309276415,-0.10910033999169794,-0.0962350876594414,0.03259565760663457
AGE,0.274456215036743,1.0,-0.1439997624552814,-0.033415307279662645,-0.07869520277217905,0.04067725112303433,-0.02728819124505593,-0.02380255060764113,0.06826713177688214,-0.026242177178660543,0.040903006649498835,0.02407114975944386,0.2196932004947486,0.05744058331207604,0.006529580144045766,-0.010664775175898695,-0.00955064599037709,0.0032575591242971096,0.007992267864418642,0.08167969145662894,0.02272838550375731,0.03706937138572185,-0.0758689611839174,-0.09391094470906176,-0.042283573622858533,-0.06458645538423011,0.01463450042989434,0.05948890175547227,0.13181215557197554,0.14661733486406223,0.2155797315873293,-0.030891965570382644,-0.008121549256274938,0.08249365710593974,-0.15519945671133364,-0.2330019527571359,0.0842154816567509,-0.025685670184966966,-0.015662859827927696,0.06230153240740605,0.13592745329108963,0.2753398428536417,0.12114277251360721,0.08964193683024146,-0.23564125075693207,-0.4306666211307493,0.05933463856467783,-0.14228000926020998
BMI,-0.01851211006316359,-0.1439997624552814,1.0,0.051372866729396754,0.05154398583613479,0.01387100595732628,0.015804070250308434,-0.0007294732665456803,0.05974843520676678,0.004567793686705678,-0.02364264589733711,-0.04232318810288234,0.004903407085665762,-0.020110064967048206,0.002139028922296044,0.029023738401582178,-0.031977681846940983,0.06950363076146708,0.03517714104468118,0.01931185014426865,0.20585421766782505,0.023141517724334683,0.046336382365880016,0.05484425758488291,0.025657054808224035,0.055812638523464686,0.00037366181132114087,-0.00926240628930365,0.024114195168077158,0.04234612338941542,-0.10836959000162401,0.07539735305501248,0.0412635910047046,-0.00817043166403979,0.013217228740936064,0.1752566412354175,0.17681949869091207,0.00622007421647252,0.08186589403270413,0.06566450243247145,0.04367871780572889,0.12237082846926756,0.047166470012723914,0.20786608731868947,-0.0052348309413245446,0.002514330969113056,0.07070459072156947,-0.0372992555992389
REA,-0.04323056581504042,-0.033415307279662645,0.051372866729396754,1.0,0.3721813345944399,0.07710161565137592,0.07552943666280154,0.06468367971817279,0.5738109605938851,-0.0025781777657624856,0.024375714651897626,-0.002648721534519398,0.06529067501094327,0.06545353273525922,0.023203990903512613,-0.061875584030683266,0.02348329684562443,0.17040095884408957,0.08447967485325968,0.05017040823372487,0.10734984560546516,-0.019047705711849217,0.09057498928619497,0.2536574194534262,0.14789487010272317,0.20258157451419434,0.028434678859483715,0.12424846436339536,0.10933861030804934,0.1714278398055917,-0.0037166674257306837,0.1561829791965847,0.17207581548279646,0.05696864153283267,-0.14405145305971087,0.03743707973612791,-0.07377519668825372,-0.03207418094762577,0.5479480135844605,0.5677832388755403,0.012815230868104478,0.0320922910182978,0.02373092301130319,0.022082060169665015,0.010469195998277956,0.04680610080220611,-0.0359679480336267,-0.31209097611036335
ECMO1,-0.06597595226190893,-0.07869520277217905,0.05154398583613479,0.3721813345944399,1.0,-0.025896553400302183,-0.012902539090961004,-0.01413734711592189,0.5009803606149126,-0.031287845208770024,0.036105685682455466,-0.01301126853631231,0.021724415700500835,0.08839326297498862,0.010040485554281223,-0.0703477908534557,0.0393849419907887,0.15169476444191107,0.10878596858030198,0.13423404840824787,0.15649814616306498,0.025525453036384264,0.13350158496566966,0.322759624025694,0.17658748001161564,0.23975342499739466,0.09258663642242831,0.20256955343590297,0.12834258770879528,0.2203059402576571,0.047096696857360655,0.17763664925490957,0.2784931910119593,-0.03417232668028973,-0.15450232772994402,-0.0018787486093781252,0.032673148699757446,-0.05970487655403085,0.4588772837362618,0.5281585142956142,0.0981281070691438,0.02348336852617841,0.02811853043164575,0.051767705142393414,-0.02266062012516473,0.06838815807470576,-0.008666153810621698,-0.38935428837449926
ECMO2,0.0002110839002100192,0.04067725112303433,0.01387100595732628,0.07710161565137592,-0.025896553400302183,1.0,-0.004718123429106369,-0.005169660652279605,0.17469571826399755,0.047393519253145756,-0.03437652285738591,-0.00591426765062634,0.04669140096054476,0.05826464340762602,-0.0027555297056360535,-0.04410689716974552,0.029102435811574037,0.01497418856686952,0.04947320281339003,0.05043537491287329,0.047149517218225745,-0.008313049341082122,0.003567361291887124,0.03241290974230737,0.019169153397033067,0.054153917159739405,0.05643173003168572,0.13786413858775282,0.026653589840196085,0.13238796994491686,-0.013366748268218256,0.06270800890445381,0.25662885280965847,-0.020937784400288966,0.009288318639622756,-0.015793141076148032,-0.028110077563787986,-0.009101305136706777,0.10046146952504939,0.13578484834544466,-0.02540251653700185,-0.012647760448161667,-0.016006192308094476,0.0035900787113892912,-0.016002024543110137,-0.02842253246194511,0.009224876244823751,-0.12892914943381908
ECMO3,-0.027922406914605187,-0.02728819124505593,0.015804070250308434,0.07552943666280154,-0.012902539090961004,-0.004718123429106369,1.0,-0.0025756998478516564,0.09295138024296343,-0.013622916236326763,0.018813328950778578,0.013300741089784261,0.018340923438399548,-0.006704253274421514,-0.01694214713929305,0.00314879158940558,0.009651384620583178,0.01542963546823469,0.07435637706725644,0.023142347594718716,0.03783825934802504,0.009847103805288741,0.19275974079791716,0.09935390941438442,0.0693021426393415,0.04896982467257292,0.16726168624356152,0.10179319412152511,0.06140552179283747,0.03554791422820214,0.0035359383563106413,0.43503017695841284,0.23343454357885352,-0.021507675454064946,-0.07630577570562168,0.009370852506773959,-0.015452462062462969,-0.015439804715624738,0.11197923927170313,0.06579399849533207,0.024229643246232842,0.02130985646960856,-0.029983976175927813,0.06341935203910465,,0.041452652607487386,-0.01541571427352283,-0.10337268426248045
ECMO4,-0.030594657073376847,-0.02380255060764113,-0.0007294732665456803,0.06468367971817279,-0.01413734711592189,-0.005169660652279605,-0.0025756998478516564,1.0,0.08025420243717384,-0.014926666310122008,-0.005639861141909015,-0.013118890114557516,-0.008668552031413557,-0.0073458685166822805,0.009868557400227422,0.014461662551168807,-0.01775797466235991,-0.01802027405629029,0.06624014407818636,0.02340676504830364,0.054478964862618974,-0.0064636732046872095,-0.010439459246762926,0.05280649911197373,0.004434106919885063,0.01077705677371039,-0.007058573723346611,0.026553106287763577,0.008962940981771934,0.032471618277071936,,-0.00510034630119555,0.11486096542413224,0.010764360759578956,-0.006171975487583241,0.03970292705505469,0.035127067005961236,-0.027697598491113203,0.049980158251315236,0.046467771581801404,-0.027337312584368972,-0.007276308829566667,-0.017483313581637485,0.014168285909594703,0.027145388915247745,-0.0014578204340117977,0.00530983071266862,-0.004550834450572841
SHOCK,-0.014738527145778741,0.06826713177688214,0.05974843520676678,0.5738109605938851,0.5009803606149126,0.17469571826399755,0.09295138024296343,0.08025420243717384,1.0,-0.019177022457355183,0.01924343239182468,-0.016368505166927467,0.10534156873879662,0.1470683665779914,0.008738542916506796,-0.09510743316711678,0.04069039320306808,0.18404586490051786,0.13459506910398444,0.12617019945967106,0.13173315351644468,0.012438956759544732,0.11918831103156156,0.2965580551981415,0.18429363592821893,0.27712094387836295,0.07977484049238107,0.22752729463782345,0.22738042625969185,0.3129952989067577,0.1748172079238562,0.23999850972981093,0.35055918577299017,0.053437811730632716,-0.18431773883574115,-0.006127323913475186,0.021697692242696607,-0.03126664195371359,0.5723629886336276,0.6467436761467161,0.07559247822107289,0.07064981042624954,0.00720220484054994,0.0867506377724289,-0.03921215812952029,0.007384647845502653,-0.017777238639427824,-0.48422902176705246
PERFl,0.0006094750030613116,-0.026242177178660543,0.004567793686705678,-0.0025781777657624856,-0.031287845208770024,0.047393519253145756,-0.013622916236326763,-0.014926666310122008,-0.019177022457355183,1.0,-0.7241098197968346,-0.005005214460731085,-0.01293380406469958,-0.02557783785112096,0.14473519220310213,-0.17737921309477578,0.0861905333426383,-0.04794357045070751,0.011680399786703214,-0.03532865199195101,-0.02034804954090535,0.008482110756025849,0.032786293031161304,0.0070310965162244535,0.030475248300927894,0.037615097768542875,0.009145390843843818,0.003570506378318013,-0.0008801709356139402,-0.0005361783890120894,0.1555247982763633,0.008217311792705701,0.013067945226892396,0.010573066068800834,0.006902687511500682,0.002841587500506646,0.06469801339041498,0.018597587779197386,-0.029342084584245094,-0.0066090607917815855,-0.015844922161130034,-0.008135588392291884,-0.03191932936935322,0.03334222745353086,-0.07326957302789212,0.03244546925397498,-0.048686253645725874,-6.244910557126135e-05
PERFr,0.008002075606633925,0.040903006649498835,-0.02364264589733711,0.024375714651897626,0.036105685682455466,-0.03437652285738591,0.018813328950778578,-0.005639861141909015,0.01924343239182468,-0.7241098197968346,1.0,0.0010565818241768225,0.009661324041271927,0.012654215841117668,-0.1859666076251195,0.15814531073767846,-0.03996879542797847,0.04018597325530049,-0.02707519706625441,0.02572839316218199,-0.0022936729269861203,-0.012700615859616913,-0.04680834035500504,-0.003757239111053137,-0.04501935075835292,-0.03973270523454101,-0.018788675350965622,-0.004996965200853191,0.003831647871127238,0.00572466575293591,-0.07362369833417283,-0.001212777804416258,-0.02845903593944124,-0.014802529746869303,-0.015719376962486997,-0.011152291670515692,-0.032670899116284506,0.014852424637861544,0.03308072420974403,0.0227620327904556,0.016403118349471002,0.0062690083619793,0.008045326029054096,-0.015415180684984146,0.07363227421197957,-0.04610189960789525,0.05079411284084156,-0.012597803475316947
CAD2,0.001949064171051733,0.02407114975944386,-0.04232318810288234,-0.002648721534519398,-0.01301126853631231,-0.00591426765062634,0.013300741089784261,-0.013118890114557516,-0.016368505166927467,-0.005005214460731085,0.0010565818241768225,1.0,-0.5202016281587376,-0.008403923478963921,0.04606053350179686,0.00025468956163012544,-0.022586100218203002,0.013830039499868184,0.032682694879081306,-0.014824069048850308,-0.0034433451926486084,-0.0371732546047539,0.03311512502915626,0.03175679882912751,0.030863358735800428,0.02135911477160116,-0.011989754913332784,0.0029874350986763727,-0.05596471879574796,-0.03796217412569124,-0.05377868806459592,-0.01808909487141799,-0.012427137569100646,0.018972058388999406,0.015912785714982246,-0.0373098835384193,-0.030750106156624463,0.04449360079183735,0.0005887721451169446,5.748152648576515e-05,-0.0689759081396942,0.0016288142304097617,0.002480908655948574,-0.036179591590092694,-0.03527815304159512,0.036819511881967124,-0.04158714465225002,0.059094587826256435
CAD3,-0.027907502465184524,0.2196932004947486,0.004903407085665762,0.06529067501094327,0.021724415700500835,0.04669140096054476,0.018340923438399548,-0.008668552031413557,0.10534156873879662,-0.01293380406469958,0.009661324041271927,-0.5202016281587376,1.0,0.059327309271856025,-0.015222540890387081,0.07468900126825768,-0.08459755352801536,-0.012563949799062885,0.11053845690174995,0.17022187967179123,0.12818942744587838,0.03401527722644173,-0.001536471867550096,-0.003991396302208817,0.008461298691027408,-7.287257405551356e-05,0.009039488383779416,0.009311315708354922,0.15046600499640145,0.14535374666210477,0.13490707379407768,0.04460832383976823,0.017042757833641887,-0.017391090148668416,-0.09109776793244306,-0.0018041489092307033,0.13669336900653675,0.010442207111628136,0.060319893587596894,0.09406859602129271,0.243323669074711,0.16816760259817712,0.1947098480735874,0.16014604019267958,-0.007583838466688087,-0.1317820487892088,0.043008910887544646,-0.15206119181397462
CLlca,-0.039667232840271995,0.05744058331207604,-0.020110064967048206,0.06545353273525922,0.08839326297498862,0.05826464340762602,-0.006704253274421514,-0.0073458685166822805,0.1470683665779914,-0.02557783785112096,0.012654215841117668,-0.008403923478963921,0.059327309271856025,1.0,-0.048318823087766694,-0.1056666401812982,-0.13840652389272307,-0.0014497822687097697,0.07801208149002836,0.04484097959740743,0.04931809443680949,0.047688255084109045,-0.02824932427826269,0.01747368124470941,-0.028510634907967285,0.029926015487882172,-0.021180825249526664,0.04158733483799347,0.031079765917799297,0.06908025101874542,0.021456679445218715,0.001947631212225399,0.047679487770063776,0.06099448473162045,-0.058466541938290255,-0.038718047251530475,0.02271112836144873,-0.03086468118902594,0.08826817211708034,0.10905951573121289,0.004479866696016954,0.01600985394010492,0.03662367751352114,0.021126395889200282,-0.011836933183494354,-0.040155785387702224,-0.026484869961927615,-0.10791785899454705
CLlcx,0.014689011769368888,0.006529580144045766,0.002139028922296044,0.023203990903512613,0.010040485554281223,-0.0027555297056360535,-0.01694214713929305,0.009868557400227422,0.008738542916506796,0.14473519220310213,-0.1859666076251195,0.04606053350179686,-0.015222540890387081,-0.048318823087766694,1.0,-0.26702746635429886,-0.349763589895242,-0.03436119390794445,-0.0001369653278714971,-0.01888188816611282,-0.024562980747614295,-0.005398352343050048,0.011060906034189529,0.05589089975723657,0.011941889913301296,0.04329044200420697,-0.028223791759580882,-0.0052851380578590535,-0.012514059209645887,0.0002000600664023129,0.002946324746548538,-0.008485414732971845,0.043694697574276194,0.0030087192254302864,-0.010903344867186035,0.03881165067219333,0.02891205325303306,0.06526777805987534,0.003787767467878045,0.01293222006650665,-0.004097368201296233,0.042507082446158556,0.0332590152857564,-0.0024268817172519077,-0.011239708397100147,0.024523808523144577,0.006636787934109716,0.08448544848539173
CLrca,0.029758501478842073,-0.010664775175898695,0.029023738401582178,-0.061875584030683266,-0.0703477908534557,-0.04410689716974552,0.00314879158940558,0.014461662551168807,-0.09510743316711678,-0.17737921309477578,0.15814531073767846,0.00025468956163012544,0.07468900126825768,-0.1056666401812982,-0.26702746635429886,1.0,-0.7648850083713399,-0.022713333322987188,-0.0433568416357087,0.057251732304089406,0.03718306830985382,0.043482467311049634,-0.10708487900051399,-0.1462187736737297,-0.09834529561173161,-0.18537377818373113,-0.05563867671578529,-0.10280368052494661,0.03430046782357977,-0.004087683440597412,-0.08157694180219464,-0.09102151661221591,-0.1294925285201594,-0.03039644624040348,0.01569484745489127,0.04062219017469768,0.016455347724596038,0.053555104063163904,-0.05319733814788627,-0.06229217871111595,0.015132735166738895,-0.011474517026926926,0.0004692508117601729,0.0203526045164975,0.04682474214246258,0.016036131308612277,0.0651135447224279,0.24893159954809965
