;SEX;AGE;BMI;REA;ECMO1;ECMO2;ECMO3;ECMO4;SHOCK;PERFl;PERFr;CAD2;CAD3;CLlca;CLlcx;CLrca;CLlad;TFBAN;KM;RADT;FDP;DBT;CKadm;CKmax;CKMBa;CKMBm;TROPa;TROPm;KREAa;KREAm;BNP;LDHa;LDHm;ADP;LDL;TRIGL;HBA1C;LPa;LACa;LACm;HoINT;HTN;HLP;DM;FAMH;NIC1;NIC2;LVEF_dis
1;0;57.54;24.84;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;80.0;3.55;3068.0;0.72;2201.0;13362.0;303.0;650.0;4.6;18.6;1.3;3.7;;341.0;728.0;18.0;;;;;18.0;18.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5
2;0;52.95;27.76;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;;5.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;0.6
3;1;70.22;30.86;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;170.0;6.0;1727.0;0.75;1119.0;2659.0;126.0;303.0;17.4;25.0;0.8;0.8;;256.0;256.0;7.0;;;;;1.11;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.475
4;0;67.4;27.04;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;120.0;9.26;2076.0;1.83;302.0;331.0;43.0;49.0;0.657;2.52;1.6;1.9;980.0;347.0;372.0;12.0;186.0;228.0;6.4;;;;0.0;1.0;;;;;;0.5
5;0;63.86;25.31;1;1;0;0;0;1;0;1;1;0;0;0;0;1;1;250.0;19.3;4731.0;;119.0;2664.0;0.0;422.0;0.02;16.5;1.2;1.4;;222.0;764.0;34.0;96.0;334.0;6.0;35.0;3.8;11.8;1.0;;;0.0;;1.0;0.0;0.35
6;1;55.16;23.88;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;170.0;8.45;1426.0;1.65;156.0;1219.0;0.0;99.0;0.2;1.65;0.9;1.2;;418.0;418.0;5.0;87.0;116.0;6.3;40.0;2.7;2.7;0.0;1.0;;0.0;0.0;1.0;0.0;0.4
7;0;49.97;;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;120.0;10.06;1142.0;0.62;91.0;8315.0;0.0;736.0;0.098;16.6;0.9;0.9;2804.0;276.0;1800.0;11.0;92.0;101.0;6.7;12.5;3.0;3.0;0.0;;;;;;;0.6
8;0;54.85;28.23;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;100.0;3.57;1611.0;0.83;502.0;1283.0;58.0;150.0;0.657;0.657;0.8;0.9;;243.0;485.0;8.0;111.0;350.0;;20.0;4.3;4.3;0.0;0.0;;0.0;1.0;1.0;0.0;0.6
9;0;61.16;27.76;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;370.0;19.5;10940.0;0.7;;;;;;;;;;;;;;;;;;;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.6
10;1;70.84;;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;230.0;7.37;854.0;0.57;5531.0;5531.0;935.0;935.0;7.5;;1.5;1.5;;439.0;;;161.0;74.0;;;1.87;10.9;0.0;1.0;0.0;1.0;;;;
