;SEX;AGE;BMI;REA;ECMO1;ECMO2;ECMO3;ECMO4;SHOCK;PERFl;PERFr;CAD2;CAD3;CLlca;CLlcx;CLrca;CLlad;TFBAN;KM;RADT;FDP;DBT;CKadm;CKmax;CKMBa;CKMBm;TROPa;TROPm;KREAa;KREAm;BNP;LDHa;LDHm;ADP;LDL;TRIGL;HBA1C;LPa;LACa;LACm;HoINT;HTN;HLP;DM;FAMH;NIC1;NIC2;LVEF_dis
1;0;57.54;24.84;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;80.0;3.55;3068.0;0.72;2201.0;13362.0;303.0;650.0;4.6;18.6;1.3;3.7;;341.0;728.0;18.0;;;;;18.0;18.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5
2;0;52.95;27.76;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;;5.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;0.6
3;1;70.22;30.86;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;170.0;6.0;1727.0;0.75;1119.0;2659.0;126.0;303.0;17.4;25.0;0.8;0.8;;256.0;256.0;7.0;;;;;1.11;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.475
4;0;67.4;27.04;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;120.0;9.26;2076.0;1.83;302.0;331.0;43.0;49.0;0.657;2.52;1.6;1.9;980.0;347.0;372.0;12.0;186.0;228.0;6.4;;;;0.0;1.0;;;;;;0.5
5;0;63.86;25.31;1;1;0;0;0;1;0;1;1;0;0;0;0;1;1;250.0;19.3;4731.0;;119.0;2664.0;0.0;422.0;0.02;16.5;1.2;1.4;;222.0;764.0;34.0;96.0;334.0;6.0;35.0;3.8;11.8;1.0;;;0.0;;1.0;0.0;0.35
6;1;55.16;23.88;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;170.0;8.45;1426.0;1.65;156.0;1219.0;0.0;99.0;0.2;1.65;0.9;1.2;;418.0;418.0;5.0;87.0;116.0;6.3;40.0;2.7;2.7;0.0;1.0;;0.0;0.0;1.0;0.0;0.4
7;0;49.97;;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;120.0;10.06;1142.0;0.62;91.0;8315.0;0.0;736.0;0.098;16.6;0.9;0.9;2804.0;276.0;1800.0;11.0;92.0;101.0;6.7;12.5;3.0;3.0;0.0;;;;;;;0.6
8;0;54.85;28.23;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;100.0;3.57;1611.0;0.83;502.0;1283.0;58.0;150.0;0.657;0.657;0.8;0.9;;243.0;485.0;8.0;111.0;350.0;;20.0;4.3;4.3;0.0;0.0;;0.0;1.0;1.0;0.0;0.6
9;0;61.16;27.76;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;370.0;19.5;10940.0;0.7;;;;;;;;;;;;;;;;;;;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.6
10;1;70.84;;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;230.0;7.37;854.0;0.57;5531.0;5531.0;935.0;935.0;7.5;;1.5;1.5;;439.0;;;161.0;74.0;;;1.87;10.9;0.0;1.0;0.0;1.0;;;;
11;0;79.19;25.01;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;280.0;10.09;2696.0;2.42;142.0;3699.0;0.0;0.0;0.117;0.117;1.0;1.2;;354.0;705.0;12.0;77.0;64.0;5.6;;4.7;4.7;0.0;1.0;0.0;0.0;;0.0;0.0;0.556
12;1;54.87;36.73;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;;8.39;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;0.25
13;1;68.33;47.75;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;130.0;5.35;5152.0;1.97;95.0;6221.0;0.0;142.0;0.045;0.103;2.9;2.9;;510.0;510.0;20.0;;;;;3.8;5.8;;;;1.0;;;;0.3
14;0;62.91;25.25;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;200.0;5.13;1192.0;1.47;107.0;3581.0;0.0;307.0;0.013;3.36;0.8;0.9;;227.0;749.0;;130.0;117.0;6.1;15.0;2.3;8.4;;;;;;;;0.6
15;0;73.44;27.78;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;500.0;47.8;7688.0;2.25;142.0;1629.0;0.0;186.0;0.065;2.9;1.2;1.7;;196.0;472.0;5.0;101.0;210.0;;270.0;1.3;3.1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.619
16;0;79.44;31.14;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;430.0;33.5;15237.0;1.68;142.0;1800.0;0.0;211.0;0.0225;25.0;1.3;5.2;;;1945.0;26.0;76.0;85.0;6.0;22.5;8.45;8.45;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.4
17;0;50.67;27.34;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;180.0;7.18;2173.0;1.12;149.0;3032.0;0.0;315.0;0.013;1.4;0.9;0.9;521.0;165.0;601.0;25.0;135.0;153.0;5.7;95.0;1.7;2.0;0.0;0.0;0.0;0.0;0.0;;;0.49
18;1;49.16;26.22;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;336.0;18.0;6334.0;0.22;138.0;155.0;0.0;0.0;0.015;0.7675;0.7;0.8;;200.0;200.0;14.0;90.0;605.0;7.4;75.0;1.86;3.51;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.6
19;0;74.18;27.78;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;190.0;15.44;6294.0;0.7;2431.0;3703.0;;460.0;;2.67;1.0;1.0;3325.0;500.0;973.0;28.0;73.0;129.0;5.6;12.5;1.7;1.7;0.0;1.0;;;;;;0.4
20;0;53.26;30.68;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;220.0;10.37;4699.0;;440.0;6695.0;24.0;441.0;0.036;2.69;1.3;1.3;144.0;305.0;;22.0;225.0;173.0;6.0;98.0;2.5;2.5;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.4
21;0;43.76;30.03;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;120.0;5.3;1448.0;0.37;1164.0;1942.0;81.0;118.0;12.5;;1.0;1.1;;393.0;759.0;26.0;136.0;311.0;12.5;;1.8;1.8;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.6
22;0;63.42;32.91;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;200.0;26.39;6810.0;1.0;498.0;1968.0;89.0;309.0;0.451;7.66;0.7;0.8;;299.0;453.0;14.0;93.0;62.0;5.6;5.0;0.7;1.3;0.0;;;;;;;0.432
23;1;66.78;32.87;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;85.0;7.23;1380.0;0.6;2304.0;2720.0;250.0;290.0;7.22;7.88;1.0;1.0;;573.0;;11.0;75.0;172.0;6.4;7.0;3.5;2.5;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.6
24;0;50.07;31.35;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;150.0;7.21;2839.0;1.65;155.0;2354.0;20.0;114.0;0.0125;0.03;0.9;0.9;;175.0;504.0;;;;5.6;;;;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.6
25;0;42.45;41.8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;180.0;8.38;5024.0;0.83;83.0;2025.0;19.0;205.0;0.013;4.42;0.9;0.9;55.6;221.0;671.0;21.0;197.0;264.0;5.9;7.0;2.7;2.9;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.5
26;0;47.23;25.06;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;260.0;21.5;3642.0;2.07;58.0;420.0;0.0;39.0;0.083;0.083;0.9;1.1;381.0;107.0;202.0;34.0;139.0;180.0;6.6;82.5;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.6
27;0;54.81;29.41;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;180.0;8.42;2733.0;1.15;60.0;86.0;14.0;25.0;0.029;0.152;0.7;0.8;;151.0;212.0;14.0;157.0;148.0;5.4;;1.8;1.8;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5
28;1;77.33;27.34;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;150.0;5.17;2281.0;75.45;47.0;230.0;0.0;35.0;0.177;2.89;1.9;2.9;;;330.0;8.0;;;;;0.9;2.4;1.0;1.0;1.0;0.0;;0.0;0.0;0.5
29;0;47.25;26.3;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;280.0;12.6;3439.0;0.48;144.0;2228.0;0.0;239.0;0.046;4.61;1.4;1.4;;283.0;303.0;19.0;190.0;150.0;5.0;17.5;2.1;2.1;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.48
30;0;52.77;24.57;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;590.0;55.4;7243.0;1.2;3284.0;3514.0;387.0;387.0;1.91;5.84;1.0;1.0;1272.0;660.0;817.0;9.0;82.0;129.0;5.9;;1.7;2.9;0.0;0.0;1.0;0.0;;1.0;0.0;0.5
31;0;57.28;27.55;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;400.0;27.35;6790.0;0.97;1233.0;2191.0;99.0;192.0;2.03;4.92;0.9;0.9;;347.0;;17.0;125.0;123.0;5.4;;1.5;2.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.6
