Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
0,1,303,0.06038498878479004
0,2,126,0.061055898666381836
0,3,284,0.07576543092727661
0,4,255,0.09281808137893677
0,5,171,0.10408467054367065
1,1,300,0.13002008199691772
1,2,133,0.21760952472686768
1,3,194,0.22299093008041382
1,4,69,0.2594067454338074
1,5,318,0.2802937626838684
2,1,57,0.1586519479751587
2,2,144,0.23870521783828735
2,3,199,0.3540750741958618
2,4,121,0.3725218176841736
2,5,238,0.37801384925842285
3,1,245,0.20277023315429688
3,2,314,0.3019377589225769
3,3,242,0.4398556351661682
3,4,184,0.4426027536392212
3,5,24,0.4654048681259155
4,1,220,0.19490522146224976
4,2,172,0.2385241985321045
4,3,17,0.24498558044433594
4,4,181,0.2635992765426636
4,5,153,0.27893465757369995
5,1,12,0.30011141300201416
5,2,38,0.32799726724624634
5,3,2,0.4568887948989868
5,4,274,0.46291589736938477
5,5,144,0.47109007835388184
6,1,56,0.15894681215286255
6,2,113,0.19628524780273438
6,3,269,0.22986489534378052
6,4,59,0.23092079162597656
6,5,296,0.2759549021720886
7,1,262,0.3531816601753235
7,2,273,0.44871848821640015
7,3,231,0.4775993227958679
7,4,178,0.4952770471572876
7,5,10,0.5181342363357544
8,1,56,0.21731221675872803
8,2,39,0.2815602421760559
8,3,209,0.2906925678253174
8,4,307,0.32990163564682007
8,5,106,0.3349865674972534
9,1,206,0.08812850713729858
9,2,165,0.1515747308731079
9,3,201,0.2273384928703308
9,4,302,0.39405161142349243
9,5,277,0.41421300172805786
10,1,213,0.11814802885055542
10,2,55,0.24729633331298828
10,3,130,0.26191967725753784
10,4,293,0.3143136501312256
10,5,168,0.32500261068344116
11,1,304,0.16729360818862915
11,2,166,0.20877832174301147
11,3,128,0.30182766914367676
11,4,202,0.3284473419189453
11,5,0,0.32961130142211914
12,1,5,0.30011141300201416
12,2,38,0.32558614015579224
12,3,145,0.415752112865448
12,4,13,0.4760715961456299
12,5,60,0.5435192584991455
13,1,60,0.11236673593521118
13,2,290,0.2479841113090515
13,3,228,0.3579097390174866
13,4,142,0.36707955598831177
13,5,145,0.3887925148010254
14,1,79,0.37155622243881226
14,2,51,0.40695828199386597
14,3,74,0.4337121844291687
14,4,16,0.4754296541213989
14,5,204,0.5039511919021606
15,1,86,0.05060720443725586
15,2,149,0.30287832021713257
15,3,228,0.39237016439437866
15,4,290,0.3930414915084839
15,5,140,0.415338933467865
16,1,52,0.17995023727416992
16,2,51,0.20593422651290894
16,3,74,0.21590948104858398
16,4,79,0.2668176293373108
16,5,28,0.2672837972640991
17,1,190,0.08402913808822632
17,2,173,0.15991175174713135
17,3,172,0.16478419303894043
17,4,254,0.2001391053199768
17,5,137,0.2318548560142517
18,1,177,0.2575869560241699
18,2,118,0.2986581325531006
18,3,208,0.39895784854888916
18,4,144,0.5155726075172424
18,5,25,0.5344831347465515
19,1,100,0.21368837356567383
19,2,226,0.3061630129814148
19,3,204,0.33667272329330444
19,4,168,0.3664904236793518
19,5,191,0.45852404832839966
20,1,253,0.12979912757873535
20,2,180,0.2652299404144287
20,3,84,0.34130603075027466
20,4,285,0.3496130108833313
20,5,233,0.377089262008667
21,1,300,0.16598117351531982
21,2,31,0.19849401712417603
21,3,156,0.24752318859100342
21,4,307,0.2542233467102051
21,5,147,0.3035314083099365
22,1,217,0.23666763305664062
22,2,219,0.31472522020339966
22,3,98,0.32245302200317383
22,4,268,0.3371405005455017
22,5,280,0.3936654329299927
23,1,317,0.235149085521698
23,2,281,0.32451748847961426
23,3,70,0.3255860209465027
23,4,66,0.32677221298217773
23,5,29,0.3482348918914795
24,1,183,0.3616880774497986
24,2,242,0.37120866775512695
24,3,102,0.42367231845855713
24,4,40,0.4347895383834839
24,5,3,0.4654048681259155
25,1,118,0.331645667552948
25,2,218,0.46641647815704346
25,3,238,0.4668220281600952
25,4,227,0.4904044270515442
