Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
0,1,126,1.1345085180864314
0,2,303,1.1478449088197629
0,3,284,1.2646532032725526
0,4,255,1.431254103954437
0,5,171,1.576245588256401
1,1,300,1.6022391609550035
1,2,194,2.1068726080117437
1,3,291,2.4296881430002335
1,4,21,2.6657201928021954
1,5,156,2.760288592660024
2,1,57,2.8807038359979917
2,2,144,3.468115351519676
2,3,121,4.1947822665641485
2,4,238,4.216730053790305
2,5,227,4.572444455415435
3,1,245,2.889157120200314
3,2,314,3.146875791192221
3,3,242,3.7929031511123874
3,4,24,4.1387702004605815
3,5,188,4.173207811414588
4,1,220,2.595669621594573
4,2,17,2.67096243595661
4,3,172,2.771660659086209
4,4,181,2.803830559590585
4,5,153,3.012499960676901
5,1,88,4.289675676369423
5,2,313,4.313708442059344
5,3,224,4.3333449751599415
5,4,274,4.413564171167334
5,5,38,4.577921353260312
6,1,56,1.7792660539263034
6,2,113,1.9073782430488488
6,3,269,2.1716630881873433
6,4,182,2.528023028606456
6,5,306,2.6998785011754776
7,1,262,4.681155992024219
7,2,273,4.976485314266342
7,3,10,4.990366441054387
7,4,312,5.078037985114906
7,5,213,5.271608106322839
8,1,56,2.181180994668863
8,2,209,2.4430035531168475
8,3,39,2.6006502196462273
8,4,106,2.6260434528590033
8,5,195,2.716571474561734
9,1,206,2.2496375140671274
9,2,165,2.9521279017411537
9,3,201,3.5317879759466706
9,4,242,4.903739668624953
9,5,244,5.017101152390934
10,1,213,1.976746899800822
10,2,55,2.779151147847321
10,3,130,2.8011305635412413
10,4,293,3.223057266026434
10,5,259,3.2508431200582604
11,1,304,1.782082922067008
11,2,166,1.9635533819665723
11,3,128,2.3295631783454787
11,4,0,2.620603595937491
11,5,127,2.684059733144733
12,1,5,4.891840910422716
12,2,38,5.260864831292439
12,3,145,5.912833686751348
12,4,13,5.9328362558817656
12,5,274,6.310330113369063
13,1,60,2.29509640924125
13,2,290,3.3525404169897177
13,3,228,3.7635298312147434
13,4,252,3.8493156376202564
13,5,142,4.041910294025573
14,1,79,3.0491929073753794
14,2,51,3.2105618540918606
14,3,74,3.314040273192677
14,4,16,3.4326479999610378
14,5,76,3.6657626077785888
15,1,86,1.3641230637926767
15,2,149,3.264163688447939
15,3,158,3.529857392812311
15,4,233,3.5331164650689164
15,5,228,3.6504272246737997
16,1,52,1.9777808181026066
16,2,51,2.0880670748242136
16,3,74,2.1398211391682596
16,4,79,2.3478592219684162
16,5,28,2.4030231169474296
17,1,190,1.385336488204154
17,2,173,1.9597138747318132
17,3,172,2.193639419321435
17,4,254,2.4648925844802236
17,5,4,2.67096243595661
18,1,177,3.884626673726832
18,2,118,4.2321031797666535
18,3,208,4.660780601398182
18,4,144,5.299781098188006
18,5,25,5.443761412955271
19,1,100,2.9243105401834892
19,2,204,3.4947238243741587
19,3,226,3.527276020293408
19,4,130,3.8392000846197707
19,5,251,4.059536094840342
20,1,253,1.630597007259641
20,2,180,2.2413877949006498
20,3,84,2.561513535477951
20,4,233,2.675351218678613
20,5,285,2.6930865997074593
21,1,300,1.5961640397887658
21,2,31,1.838563456934715
21,3,156,1.9935767067158525
21,4,307,2.26099960760067
21,5,315,2.30993944854455
22,1,217,5.323488843338957
22,2,98,5.9148359789748355
22,3,268,6.067067626755131
22,4,219,6.098677102481792
22,5,280,6.594042819262665
23,1,317,2.3974419993605456
23,2,281,2.6507247529933746
23,3,70,2.693562699679475
23,4,29,2.7222976995386663
23,5,124,2.9743991804605168
24,1,242,3.4822499633376336
24,2,183,3.9197374515909718
24,3,40,4.1280203399856585
24,4,3,4.1387702004605815
24,5,209,4.372605083084534
25,1,118,4.03196477005807
25,2,218,4.128015522132818
25,3,238,4.262741999528881
25,4,227,4.5003519908623915
25,5,90,4.543638049204381
26,1,28,1.8566502020021314
26,2,282,2.2726309593415617
