Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
0,1,126,1.4687258681920725
0,2,284,1.6247017746013876
0,3,128,1.7456606987958356
0,4,303,1.8625918580232284
0,5,171,1.959004845681977
1,1,300,2.141336575059888
1,2,306,3.152126340618783
1,3,160,3.164797977001778
1,4,194,3.2684581090382987
1,5,260,3.270473479675056
2,1,121,4.086420683436542
2,2,57,4.214720092858412
2,3,242,5.479953491332689
2,4,94,5.511780032223584
2,5,40,5.750894051211765
3,1,245,3.2759080108532683
3,2,242,3.862365555223494
3,3,236,4.736676593487962
3,4,40,4.8139765175306195
3,5,24,4.987156664279641
4,1,17,2.8717171210267436
4,2,220,3.0466570091717684
4,3,190,3.0653971772550204
4,4,181,3.1967297154655294
4,5,173,3.2863559066452113
5,1,88,3.6502112303038503
5,2,224,4.235230148365956
5,3,274,4.3148171134328965
5,4,238,4.355487875088502
5,5,313,4.357296413939162
6,1,113,3.1309063882603514
6,2,56,3.5529784784549134
6,3,269,3.631917556833166
6,4,21,3.665785391496457
6,5,31,3.9072923977829688
7,1,262,5.030430687472647
7,2,312,6.455264653641157
7,3,293,6.462731252971021
7,4,310,6.516529119794384
7,5,88,6.530696265035083
8,1,56,2.733795050706345
8,2,195,2.7638210711660416
8,3,209,3.284734182807938
8,4,307,3.3203622093355563
8,5,106,3.535258043347051
9,1,206,2.366304577273606
9,2,165,2.9211000234049034
9,3,201,3.5533162029280976
9,4,199,4.430314367812335
9,5,244,4.7356627295844405
10,1,55,3.2944200596753466
10,2,130,3.4479869472522475
10,3,259,3.620653523352504
10,4,213,3.732774832745326
10,5,225,4.033538239306138
11,1,304,2.712335952978543
11,2,166,2.8355371056631107
11,3,128,3.0990920514470828
11,4,297,3.2073543565299105
11,5,185,3.2204350532132464
12,1,5,5.491669584141113
12,2,13,5.73761571735802
12,3,60,6.012692165093183
12,4,246,6.342875968655286
12,5,176,6.349962997328713
13,1,60,2.366154216775633
13,2,290,3.936848248225122
13,3,228,4.661334820933598
13,4,78,4.678356034264061
13,5,23,4.932048521274342
14,1,250,4.546792741261656
14,2,74,4.626112832419796
14,3,79,4.680269800475538
14,4,99,4.92430044293594
14,5,275,4.965261965610017
15,1,86,1.8653848466549203
15,2,149,3.953282299215807
15,3,228,4.105917342431128
15,4,27,4.1183407584808664
15,5,158,4.1566338063806745
16,1,51,2.304778257026244
16,2,234,2.6659922101258156
16,3,214,2.763093217095377
16,4,76,2.7935751829222855
16,5,74,2.940646730323329
17,1,190,2.008572456233616
17,2,173,2.419461459802349
17,3,254,2.432854425620158
17,4,172,2.4947989419332206
17,5,137,2.5972578979691403
18,1,89,5.387475614094253
18,2,118,5.429357657509607
18,3,177,5.5877979940231
18,4,273,5.65317393307856
18,5,92,5.663684012822755
19,1,100,4.646510888168608
19,2,251,4.692322587186411
19,3,250,4.7680816066614895
19,4,168,4.8073546703222405
19,5,191,4.855829493036618
20,1,253,2.8313101453620706
20,2,51,3.470491486758375
20,3,84,3.4950965270498635
20,4,16,3.994357332678787
20,5,285,4.022583192280394
21,1,31,2.716414454488007
21,2,307,2.9893062122518406
21,3,113,3.0236143506305457
21,4,147,3.24950335415975
